fault_id,pole_id,ward,street,reported_date,fault_type,status,repaired_date,need_attention
FLT-2026-1044,POL-139,Ward 9,Civil Lines,2026-07-07,Pole Structural Damage,Pending,,1
FLT-2026-1045,POL-140,Ward 10,Subway Road,2026-07-08,Bulb Replacement,Repaired,2026-07-09,0
FLT-2026-1046,POL-141,Ward 1,High Street,2026-07-08,Switch Failure,Repaired,2026-07-10,0
FLT-2026-1047,POL-142,Ward 2,River Bank Rd,2026-07-09,Wiring Damage,Pending,,1
FLT-2026-1048,POL-143,Ward 3,Hill View St,2026-07-09,Bulb Replacement,Repaired,2026-07-10,0
FLT-2026-1049,POL-144,Ward 4,Factory Rd,2026-07-10,Transformer Failure,Pending,,1
FLT-2026-1050,POL-145,Ward 5,Mill Street,2026-07-10,Power Surge,Repaired,2026-07-11,0
FLT-2026-1051,POL-146,Ward 6,Garden Alley,2026-07-11,Pole Structural Damage,In Progress,,1
FLT-2026-1052,POL-147,Ward 7,Ocean Drive,2026-07-11,Bulb Replacement,Repaired,2026-07-12,0
FLT-2026-1053,POL-148,Ward 8,Valley Street,2026-07-12,Switch Failure,Pending,,0
FLT-2026-1054,POL-149,Ward 9,Ridge Road,2026-07-12,Wiring Damage,Repaired,2026-07-19,1
FLT-2026-1055,POL-150,Ward 10,Forest Lane,2026-07-13,Bulb Replacement,Repaired,2026-07-14,0
FLT-2026-1056,POL-104,Ward 2,Nehru Street,2026-07-13,Transformer Failure,Pending,,1
FLT-2026-1057,POL-151,Ward 1,MG Road,2026-07-14,Power Surge,Repaired,2026-07-15,0
FLT-2026-1058,POL-152,Ward 2,Mahatma Gandhi Rd,2026-07-14,Bulb Replacement,Repaired,2026-07-15,0
FLT-2026-1059,POL-153,Ward 3,Station Rd,2026-07-15,Pole Structural Damage,Pending,,1
FLT-2026-1060,POL-154,Ward 4,Bypass Road,2026-07-15,Wiring Damage,In Progress,,1
FLT-2026-1061,POL-155,Ward 5,Market Street,2026-07-16,Switch Failure,Repaired,2026-07-17,0
FLT-2026-1062,POL-156,Ward 6,Church St,2026-07-16,Bulb Replacement,Repaired,2026-07-17,0
FLT-2026-1063,POL-157,Ward 7,Temple Road,2026-07-17,Transformer Failure,Pending,,1
FLT-2026-1064,POL-158,Ward 8,Industrial Area,2026-07-17,Wiring Damage,Repaired,2026-07-24,1
FLT-2026-1065,POL-159,Ward 9,Anna Salai,2026-07-18,Bulb Replacement,Pending,,0
FLT-2026-1066,POL-160,Ward 10,Lake View Road,2026-07-18,Power Surge,Repaired,2026-07-19,0
FLT-2026-1067,POL-161,Ward 1,Park Ave,2026-07-19,Switch Failure,In Progress,,0
FLT-2026-1068,POL-162,Ward 2,Green St,2026-07-19,Pole Structural Damage,Pending,,1
FLT-2026-1069,POL-163,Ward 3,Hospital Rd,2026-07-20,Wiring Damage,Pending,,1
FLT-2026-1070,POL-164,Ward 4,College Lane,2026-07-20,Bulb Replacement,Repaired,2026-07-21,0
FLT-2026-1071,POL-165,Ward 5,Ring Rd,2026-07-21,Transformer Failure,Pending,,1
FLT-2026-1072,POL-166,Ward 6,Port Road,2026-07-21,Power Surge,Repaired,2026-07-22,0
FLT-2026-1073,POL-167,Ward 7,Beach Rd,2026-07-22,Bulb Replacement,Pending,,0
FLT-2026-1074,POL-168,Ward 8,School Lane,2026-07-22,Switch Failure,Repaired,2026-07-23,0
FLT-2026-1075,POL-169,Ward 9,Main Bazaar,2026-07-23,Pole Structural Damage,In Progress,,1
FLT-2026-1076,POL-170,Ward 10,Railway Feeder,2026-07-23,Wiring Damage,Pending,,1
FLT-2026-1077,POL-171,Ward 1,Sunset Blvd,2026-07-24,Bulb Replacement,Pending,,0
FLT-2026-1078,POL-172,Ward 2,Cross St 1,2026-07-24,Transformer Failure,Pending,,1
FLT-2026-1079,POL-173,Ward 3,Cross St 2,2026-07-24,Power Surge,Pending,,0
FLT-2026-1080,POL-174,Ward 4,North St,2026-07-24,Wiring Damage,Pending,,1
FLT-2026-1081,POL-175,Ward 5,South St,2026-06-05,Bulb Replacement,Repaired,2026-06-06,0
FLT-2026-1082,POL-176,Ward 6,East Ave,2026-06-08,Switch Failure,Repaired,2026-06-09,0
FLT-2026-1083,POL-177,Ward 7,West Lane,2026-06-12,Transformer Failure,Repaired,2026-06-22,1
FLT-2026-1084,POL-178,Ward 8,Central Circle,2026-06-15,Pole Structural Damage,Repaired,2026-06-25,1
FLT-2026-1085,POL-179,Ward 9,Civil Lines,2026-06-18,Bulb Replacement,Repaired,2026-06-19,0
FLT-2026-1086,POL-180,Ward 10,Subway Road,2026-06-22,Wiring Damage,Repaired,2026-06-30,1
FLT-2026-1087,POL-181,Ward 1,High Street,2026-06-25,Power Surge,Repaired,2026-06-26,0
FLT-2026-1088,POL-182,Ward 2,River Bank Rd,2026-06-28,Bulb Replacement,Repaired,2026-06-29,0
FLT-2026-1089,POL-183,Ward 3,Hill View St,2026-07-01,Transformer Failure,Repaired,2026-07-10,1
FLT-2026-1090,POL-184,Ward 4,Factory Rd,2026-07-03,Switch Failure,Repaired,2026-07-04,0
FLT-2026-1091,POL-185,Ward 5,Mill Street,2026-07-05,Pole Structural Damage,Repaired,2026-07-15,1
FLT-2026-1092,POL-186,Ward 6,Garden Alley,2026-07-07,Bulb Replacement,Repaired,2026-07-08,0
FLT-2026-1093,POL-187,Ward 7,Ocean Drive,2026-07-09,Wiring Damage,Repaired,2026-07-18,1
FLT-2026-1094,POL-188,Ward 8,Valley Street,2026-07-11,Power Surge,Repaired,2026-07-12,0
FLT-2026-1095,POL-189,Ward 9,Ridge Road,2026-07-13,Transformer Failure,Repaired,2026-07-22,1
FLT-2026-1096,POL-190,Ward 10,Forest Lane,2026-07-15,Bulb Replacement,Repaired,2026-07-16,0
FLT-2026-1097,POL-191,Ward 1,MG Road,2026-07-16,Switch Failure,Repaired,2026-07-17,0
FLT-2026-1098,POL-192,Ward 2,Mahatma Gandhi Rd,2026-07-17,Wiring Damage,Repaired,2026-07-25,1
FLT-2026-1099,POL-193,Ward 3,Station Rd,2026-07-18,Bulb Replacement,Repaired,2026-07-19,0
FLT-2026-1100,POL-194,Ward 4,Bypass Road,2026-07-19,Pole Structural Damage,Repaired,2026-07-24,1
FLT-2026-1101,POL-195,Ward 5,Market Street,2026-07-20,Transformer Failure,Pending,,1
FLT-2026-1102,POL-196,Ward 6,Church St,2026-07-21,Power Surge,Pending,,0
FLT-2026-1103,POL-197,Ward 7,Temple Road,2026-07-22,Bulb Replacement,Pending,,0
FLT-2026-1104,POL-198,Ward 8,Industrial Area,2026-07-23,Wiring Damage,Pending,,1
FLT-2026-1105,POL-199,Ward 9,Anna Salai,2026-07-23,Switch Failure,Pending,,0
FLT-2026-1106,POL-200,Ward 10,Lake View Road,2026-07-24,Pole Structural Damage,Pending,,1
FLT-2026-1107,POL-201,Ward 1,Solar Drive,2026-07-25,Solar Panel Breakdown,Repaired,2026-07-27,0
FLT-2026-1108,POL-202,Ward 3,Green Energy Way,2026-07-25,Solar Panel Breakdown,Pending,,1
FLT-2026-1109,POL-203,Ward 5,Eco Street,2026-07-26,Solar Panel Breakdown,In Progress,,1
FLT-2026-1110,POL-204,Ward 8,Industrial Solar Hub,2026-07-26,Solar Panel Breakdown,Pending,,1
FLT-2026-1111,POL-205,Ward 10,Solar Feeder Rd,2026-07-27,Solar Panel Breakdown,Repaired,2026-07-27,0
